"Story","Title","Result","Date","Stability","Duration (s)"
"administrar la cuenta de usuario","el usuario deberia ver la informacion de la cuenta","SUCCESS","2022-01-03T21:06:12.306-05:00[America/Bogota]","0.0","27.73"
"administrar la cuenta de usuario","el usuario deberia ver la informacion del detalle del envio","SUCCESS","2022-01-03T21:23:27.393-05:00[America/Bogota]","0.0","24.88"
"administrar la cuenta de usuario","el usuario deberia poder editar y hacer cambios como su contraseña","SUCCESS","2022-01-04T16:57:39.094-05:00[America/Bogota]","0.0","22.21"
